Issue Type,Issue Key,Summary,Description,Parent,Epic Link,Sprint,Story Points,Priority
Epic,EPIC-2,Epic-2_MF-02: Ticket Verification & P2P Resale Listing,"Nghiệp vụ Người bán: Xác thực vé chính chủ qua OTP từ Ban tổ chức, kiểm soát trần giá bán lại và niêm yết vé công khai hoặc riêng tư.",,,Sprint 1,25,High
Epic,EPIC-3,Epic-3_MF-03: Buyer Purchase, Escrow Holding & Ownership Transfer,"Nghiệp vụ Người mua: Giữ chỗ VietQR 10 phút, tạo ký quỹ Escrow khóa hai đầu, giải ngân theo công thức kép và chuyển quyền sở hữu gRPC.",,,Sprint 1,40,Highest
Epic,EPIC-ARCH,Epic-ARCH: Microservices Architecture Migration & Event Bus,"Tái cấu trúc kiến trúc hệ thống: Tách cơ sở dữ liệu độc lập triệt tiêu Shared DB, tích hợp RabbitMQ MassTransit và API Pre-flight chống race condition.",,,Sprint 1,20,Highest
Story,SCRUM-40,SCRUM-40_Configurable price ceiling with delta markup percentage,Cập nhật luật trần giá BR-G01 cho phép Ban tổ chức cấu hình biên độ biến thiên delta từ 0% đến 10% theo yêu cầu của Thầy Đức.,EPIC-2,EPIC-2,Sprint 1,3,High
Sub-task,SCRUM-40.1,BE-CORE_Add MaxResaleMarkupPercentage to Event and validate in ResaleListing,Bổ sung trường vào Entity Event và cập nhật phương thức domain ValidatePriceCeiling.,SCRUM-40,,Sprint 1,2,High
Sub-task,SCRUM-40.2,FE_Update price slider to display configurable ceiling warning,Cập nhật màn hình đăng bán vé hiển thị mức giá trần tối đa theo công thức mới.,SCRUM-40,,Sprint 1,1,Medium
Story,SCRUM-41,SCRUM-41_Private resale discounted fee and protection messaging,Cập nhật mức phí ưu đãi 1-2% cho chế độ bán riêng tư và hiển thị giải thích kịch bản bảo vệ người mua theo góp ý của Thầy Đức.,EPIC-2,EPIC-2,Sprint 1,3,Medium
Sub-task,SCRUM-41.1,BE-CORE_Apply discounted platform fee for private resale listing,Cập nhật logic tính phí sàn ưu đãi khi is_private bằng true trong EscrowTransaction.,SCRUM-41,,Sprint 1,2,Medium
Sub-task,SCRUM-41.2,FE_Add private resale security benefit badge and explanation modal,Thêm nhãn bảo vệ giao dịch P2P và giải thích vì sao nên dùng link private.,SCRUM-41,,Sprint 1,1,Low
Story,SCRUM-50,US-3.1_Buyer holds ticket for 10 minutes and pays via dynamic VietQR,Người mua bấm Mua vé hệ thống khóa giữ chỗ 10 phút sinh mã VietQR và nhận Webhook thanh toán tự động.,EPIC-3,EPIC-3,Sprint 1,8,Highest
Sub-task,SCRUM-50.1,BE-CORE_Hold listing command with 10 minute redis lock and VietQR payload,Xử lý command giữ vé và sinh payload chuyển khoản ngân hàng.,SCRUM-50,,Sprint 1,3,Highest
Sub-task,SCRUM-50.2,FE_Checkout modal with 10 minute countdown timer and QR copy button,Giao diện modal thanh toán đếm ngược 10 phút kèm nút sao chép thông tin.,SCRUM-50,,Sprint 1,3,High
Sub-task,SCRUM-50.3,BE-CORE_Payment webhook idempotent reconciliation endpoint,Endpoint tiếp nhận webhook ngân hàng đối soát giao dịch duy nhất.,SCRUM-50,,Sprint 1,2,Highest
Story,SCRUM-51,US-3.2_Dual-hold escrow and dual-condition settlement deadline calculation,Tạo quỹ ký quỹ khóa tiền của Seller và tạm giữ vé của Buyer tính thời hạn mở khóa theo công thức kép Min(T+24h Event-2h).,EPIC-3,EPIC-3,Sprint 1,8,Highest
Sub-task,SCRUM-51.1,BE-CORE_Create EscrowTransaction with Status LOCKED and calculate UnlockAt,Khởi tạo bản ghi ký quỹ và tính thời hạn mở khóa tự động theo công thức kép.,SCRUM-51,,Sprint 1,3,Highest
Sub-task,SCRUM-51.2,BE-CORE_Apply provisional ticket hold flag is_resale_allowed false on buyer ticket,Gắn cờ tạm giữ vé Buyer ngăn chặn việc mang vé đi bán lại trong thời gian ký quỹ.,SCRUM-51,,Sprint 1,2,High
Sub-task,SCRUM-51.3,TEST_Unit and integration tests for dual condition unlock calculation,Kiểm thử đơn vị công thức tính hạn giải ngân với các mốc thời gian sự kiện khác nhau.,SCRUM-51,,Sprint 1,3,Medium
Story,SCRUM-52,US-3.3_gRPC transfer ownership and anti-arbitrage single-resale policy,Gọi gRPC sang MockOrganizer hủy vé cũ cấp vé mới cho Buyer và khóa vĩnh viễn quyền bán lại lần 2 chống đầu cơ.,EPIC-3,EPIC-3,Sprint 1,8,Highest
Sub-task,SCRUM-52.1,CONTRACT_Extend organizer_resale.proto with TransferOwnership RPC and messages,Cập nhật file protobuf và sinh mã nguồn C# gRPC stub.,SCRUM-52,,Sprint 1,2,Highest
Sub-task,SCRUM-52.2,BE-MOCK_Implement TransferOwnership RPC in OrganizerResaleGrpcService,Đổi trạng thái vé cũ sang TRANSFERRED sinh vé mới cho Buyer với is_resale_allowed false.,SCRUM-52,,Sprint 1,3,Highest
Sub-task,SCRUM-52.3,BE-MOCK_Reject RequestTicketOtp if ticket was already resold,Chặn ngay tại bước gửi OTP nếu vé đã qua 1 lần chuyển nhượng thứ cấp BR-G05.,SCRUM-52,,Sprint 1,3,High
Story,SCRUM-60,US-ARCH.1_Event-driven architecture with RabbitMQ and MassTransit,Tích hợp Message Broker RabbitMQ và MassTransit để phát tán sự kiện sang tên bất đồng bộ.,EPIC-ARCH,EPIC-ARCH,Sprint 1,5,High
Sub-task,SCRUM-60.1,INFRA_Add rabbitmq 3 management container to docker-compose,Khai báo service RabbitMQ cổng 5672 và 15672 trong docker-compose.yml.,SCRUM-60,,Sprint 1,2,High
Sub-task,SCRUM-60.2,CONTRACT_Define IOwnershipTransferredEvent interface with UnlockAt timestamp,Tạo interface sự kiện RabbitMQ trong project TicketShield.Contracts.,SCRUM-60,,Sprint 1,1,High
Sub-task,SCRUM-60.3,BE-CORE_Configure MassTransit IPublishEndpoint to emit event on transfer success,Đăng ký DI MassTransit và publish event sau khi gRPC hoàn tất thành công.,SCRUM-60,,Sprint 1,2,High
Story,SCRUM-61,US-ARCH.2_Database decoupling and atomic pre-flight claim API,Triệt tiêu anti-pattern shared database giữa Core và Worker xây dựng API pre-flight check chống race condition.,EPIC-ARCH,EPIC-ARCH,Sprint 1,5,Highest
Sub-task,SCRUM-61.1,BE-CORE_Implement internal pre-flight claim-payout API with row-level lock,Tạo endpoint POST /api/v1/internal/escrows/{id}/claim-payout với atomic status update sang PAYING_OUT.,SCRUM-61,,Sprint 1,3,Highest
Sub-task,SCRUM-61.2,INFRA_Segregate trading_db and settlement_db connection strings and contexts,Tách ranh giới context dữ liệu chuẩn bị cho Worker chạy độc lập.,SCRUM-61,,Sprint 1,2,High
