Issue Type,Issue Key,Summary,Description,Acceptance Criteria,Story Points,Priority,Component,Assignee Role
Epic,EPIC-2,Epic-2_MF-02: Ticket Verification & P2P Resale Listing,"Xác thực vé chính chủ từ Ban tổ chức (MockOrganizer) qua OTP, kiểm soát trần giá bán lại (resale <= original), hỗ trợ bán công khai (Public) hoặc bán riêng tư (Private Sale) cho bạn bè và quản lý vé đã niêm yết.",Hoàn thành 4 User Stories của MF-02 Seller Scope,45,High,Core Platform,All
Story,US-2.1,US-2.1_Seller requests ticket ownership verification OTP from Organizer,Người bán nhập mã vé gốc và email F0 để Ban tổ chức gửi mã OTP 6 số qua email xác nhận quyền sở hữu hợp pháp.,Gherkin AC-2.1: Kiểm tra vé tồn tại; kiểm tra email F0; gửi OTP 6 số hạn 5 phút; cooldown 60s,11,High,Integration,Dev 2
Sub-task,FE-2.1.1,FE-2.1.1_Ticket code & email verification input component,Ô nhập mã vé gốc + Email F0 format uppercase cho mã vé validate email.,Form input validate client-side,2,Medium,Frontend,Dev 3
Sub-task,FE-2.1.2,FE-2.1.2_OTP countdown timer & resend button component,Nút gửi OTP kèm đồng hồ đếm ngược 60s cooldown chống spam click.,Cooldown 60s disable button,1,Low,Frontend,Dev 3
Sub-task,BE-MOCK-2.1.1,BE-MOCK-2.1.1_Send ticket verification OTP api,Kiểm tra vé tồn tại và email khớp trong organizer_db sinh OTP 6 số lưu hash hạn 5 phút.,Mã vé hợp lệ sinh OTP và lưu DB,3,High,Mock Organizer,Dev 2
Sub-task,BE-MOCK-2.1.2,BE-MOCK-2.1.2_SMTP email service for OTP delivery,Cấu hình Mail Service gửi email HTML chứa mã OTP và tên Concert đến email chủ vé.,Email gửi thành công tới hòm thư,2,High,Mock Organizer,Dev 2
Sub-task,BE-CORE-2.1.1,BE-CORE-2.1.1_Request OTP proxy api with resilient client,MediatR RequestOtpCommand dùng Polly HttpClient gọi sang MockOrganizer.,Proxy yêu cầu an toàn sang đối tác,2,High,Backend Core,Dev 1
Sub-task,DB-2.1.1,DB-2.1.1_Setup mock_tickets and mock_otps schema,Script tạo bảng trong organizer_db kèm chỉ mục tìm kiếm theo mã vé.,Khởi tạo schema DB đối tác,1,Low,Mock Organizer,Dev 2
Story,US-2.2,US-2.2_Seller verifies OTP and sets price within ceiling,Người bán nhập OTP và cài đặt giá bán lại tuân thủ nghiêm ngặt Quy tắc trần giá (ResalePrice <= OriginalPrice).,Gherkin AC-2.2: Chặn trần giá 422; xác thực OTP 5m; khóa vé gốc LOCKED_FOR_RESALE bên BTC,10,Highest,Core Platform,Dev 1
Sub-task,FE-2.2.1,FE-2.2.1_OTP 6-digit input modal component,Modal 6 ô vuông tự nhảy focus khi gõ số OTP xử lý paste chuỗi từ clipboard.,Trải nghiệm nhập OTP mượt mà,2,Medium,Frontend,Dev 3
Sub-task,FE-2.2.2,FE-2.2.2_Price ceiling slider & alert component,Thanh trượt hoặc input giá bán: hiện giá gốc tham chiếu báo đỏ nếu nhập quá giá gốc.,Chặn không cho nhập lố giá gốc,2,High,Frontend,Dev 3
Sub-task,BE-MOCK-2.2.1,BE-MOCK-2.2.1_Verify OTP and lock ticket for resale api,Đối soát OTP còn hạn hay không nếu đúng đổi trạng thái vé gốc sang LOCKED_FOR_RESALE.,Vé gốc bị khóa không dùng được tại cổng,3,Highest,Mock Organizer,Dev 2
Sub-task,BE-CORE-2.2.1,BE-CORE-2.2.1_Validate price ceiling domain rule,Domain Rule ném BusinessRuleViolationException nếu ResalePrice > OriginalPrice.,Ném lỗi 422 khi vi phạm trần giá,3,Highest,Backend Core,Dev 1
Story,US-2.3,US-2.3_Seller selects listing mode (Public vs Private) and publishes ticket,Người bán chọn đăng bán Công khai lên sàn hoặc Bán riêng tư cho bạn bè kèm Link mã hóa chứa token bí mật.,Gherkin AC-2.3: Sinh link mã hóa; ẩn khỏi chợ công khai; kiểm tra token 403; partial unique index,13,Highest,Core Platform,Dev 1
Sub-task,FE-2.3.1,FE-2.3.1_Listing mode selector component (Public vs Private),Radio button chọn giữa Đăng lên chợ công khai và Bán riêng cho bạn bè.,Toggle trực quan 2 chế độ,1,Medium,Frontend,Dev 3
Sub-task,FE-2.3.2,FE-2.3.2_Private share link modal & QR generator,Modal thành công hiển thị link riêng tư kèm nút copy và mã QR gửi bạn bè.,Link định dạng đúng và QR hiển thị,2,High,Frontend,Dev 3
